s.no,barcode,,trt,days,date,leaves,No. of internodes,int1,int2,int3,int4,int5,int6,int7,intleng,leafl1,leafl2,leafl3,leafl,leafw1,leafw2,leafw3,leafw,"pet1",pet2,pet3,petleng
1,1IM211A1,IMB211,SUN,38,22/11/2010,7,2,11.42,13.57,,,,,,12.5,47.42,53.22,36.86,45.8,19.29,18.82,22.11,20.1,16.05,0.42,21.74,12.7
2,1R500A2,R500,SUN,38,22/11/2010,7,5,4.9,12.17,23.57,35.47,20.64,,,19.4,71.92,70.5,72.46,71.6,49.71,53.65,51.39,51.6,77.06,58.38,58.93,64.8
3,1IM211A3,IMB211,SUN,38,22/11/2010,12,4,8.24,5.23,13.06,20.52,,,,11.8,54.66,70.03,75.33,66.7,34.06,33.89,27.24,31.7,34.04,11.35,25.51,23.6
4,1R500A4,R500,SUN,38,22/11/2010,8,5,2.57,16.82,31.86,30,19.93,,,20.2,86.98,93.35,82.25,87.5,60.86,58.48,74.91,64.8,57.59,69.26,63.97,63.6
5,1R500B1,R500,SUN,38,22/11/2010,7,5,3.24,13.54,8.37,51.76,19.13,,,19.2,72.59,74.87,84.09,77.2,48.14,52.09,58.52,52.9,78.84,79.57,78.51,79.0
6,1IM211B2,IMB211,SUN,38,22/11/2010,9,5,4.33,4.28,14.52,18.95,40.59,,,16.5,58.6,31.98,26.91,39.2,32.75,21.97,30.44,28.4,21.07,25.34,,23.2
7,1R500B3,R500,SUN,38,22/11/2010,7,5,6.49,16.77,40.56,27.04,24.79,,,23.1,92.71,80.62,80.2,84.5,59.52,62.31,61.4,61.1,73.91,72.79,76.18,74.3
8,1IM211B4,IMB211,SUN,38,22/11/2010,9,4,4.88,5.02,12.08,20.75,,,,10.7,57.91,42.67,56.38,52.3,29.55,30.21,23.2,27.7,31.04,21.11,8.7,20.3
9,2IM211C1,IMB211,SUN,38,22/11/2010,5,6,3.67,14.26,8.03,,,,,8.7,35.02,47.21,21.82,34.7,22.74,13.25,12.91,16.3,24.65,17.22,13.89,18.6
10,2R500C2,R500,SUN,38,22/11/2010,8,5,4.41,13.76,24.85,30.33,29.71,,,20.6,89.98,97.43,82.82,90.1,51.36,61.34,47.26,53.3,62.02,78.45,67,69.2
11,2M211C3,IMB211,SUN,38,22/11/2010,7,2,4.9,17.2,,,,,,11.1,36.62,49.72,22.32,36.2,22.06,21.22,17.83,20.4,23.98,18.89,10.38,17.8
12,2R500C4,R500,SUN,38,22/11/2010,8,5,2.65,12.68,21.16,32.85,30.44,,,20.0,83.75,82.08,75.18,80.3,60.24,58.73,54.6,57.9,70.21,83.06,94.26,82.5
13,2R500D1,R500,SUN,38,22/11/2010,8,5,19.25,6.54,24.08,26.35,26.38,,,20.5,86.15,82.17,111.51,93.3,69.24,81.89,70.83,74.0,89.36,86.52,80.82,85.6
14,2IM211D2,IMB211,SUN,38,22/11/2010,6,2,9.26,13.03,,,,,,11.1,35.87,37.97,38.83,37.6,21.28,18.66,14.3,18.1,18.26,8.37,4.27,10.3
15,2R500D3,R500,SUN,38,22/11/2010,8,5,11.86,28.83,29.55,30.34,24.03,,,24.9,87.63,84.22,72.27,81.4,60.73,63.59,76.23,66.9,74.5,80.72,78.45,77.9
16,2IM211D4,IMB211,SUN,38,22/11/2010,8,3,11.06,12.34,16.9,,,,,13.4,49.59,32.8,26.36,36.3,30.09,24.9,19.25,24.7,14.34,22.58,22.27,19.7
17,3IM211E1,IMB211,SHADE,38,22/11/2010,8,4,18.91,20.3,22.22,25.64,,,,21.8,59,34.7,34.12,42.6,31.56,28.58,23.63,27.9,23.32,26.74,25.11,25.1
18,3R500E2,R500,SHADE,38,22/11/2010,8,6,6.65,10.81,22.01,34.88,75.86,57.4,,34.6,83.4,94.25,82.53,86.7,55.01,63.79,54.61,57.8,75.86,77.03,78.14,77.0
