Nos,trt,rep,date,int1,int2,int3,int4,intleng,leafl1,leafl2,leafl3,leafw1,leafw2,leafw3,pet1,pet2,pet3,leafleng,leafwid,leafnum,internum,species
1,ND,1,10/5/10,23.1,73.0,29.1,,125.3,98.4,75.7,79.5,59.6,54.4,48.9,66.8,82.2,63.0,84.5,54.3,6.0,3.0,R500
2,ND,2,10/5/10,14.5,26.2,15.8,31.4,87.8,88.4,94.4,56.5,57.6,68.2,39.7,79.7,83.2,41.5,79.8,55.2,7.0,4.0,R500
3,ND,3,10/5/10,12.6,13.9,35.7,17.9,80.1,87.7,82.1,69.4,59.7,49.7,55.3,72.5,46.4,66.5,79.7,54.9,6.0,4.0,R500
4,ND,4,10/5/10,18.2,31.1,30.5,12.5,92.3,93.5,86.4,59.2,50.9,54.9,35.0,56.3,35.5,42.7,79.7,46.9,6.0,4.0,R500
5,ND,5,10/5/10,30.3,17.1,26.1,,73.5,74.1,81.6,53.3,56.8,54.4,38.0,83.8,71.9,39.7,69.7,49.7,5.0,3.0,R500
6,ND,6,10/5/10,17.3,28.7,25.9,17.9,89.7,78.2,75.1,71.9,61.2,38.3,52.0,77.8,43.8,64.0,75.1,50.5,6.0,4.0,R500
7,ND,7,10/5/10,16.7,20.3,33.3,16.7,87.0,74.8,72.8,73.6,58.7,57.8,59.2,65.5,57.0,81.2,73.7,58.6,6.0,4.0,R500
8,ND,8,10/5/10,26.8,26.9,40.8,17.3,111.9,53.6,72.4,61.0,60.3,53.9,47.2,86.1,65.4,48.3,62.3,53.8,6.0,4.0,R500
9,ND,9,10/5/10,12.4,23.6,19.9,24.3,80.1,67.3,71.4,55.0,56.0,58.0,35.7,61.8,71.2,53.0,64.6,49.9,6.0,4.0,R500
10,ND,10,10/5/10,6.7,27.9,36.7,28.4,99.7,70.5,63.6,56.8,47.9,52.8,34.6,69.7,61.4,44.9,63.6,45.1,5.0,4.0,R500
11,D,1,10/5/10,12.2,23.7,57.8,50.2,144.0,59.0,39.7,42.8,42.1,34.2,29.8,59.0,56.9,34.0,47.2,35.4,5.0,4.0,R500
12,D,2,10/5/10,13.4,28.2,56.7,46.2,144.5,56.6,38.7,43.9,44.7,34.0,27.9,66.3,56.1,23.4,46.4,35.5,5.0,4.0,R500
13,D,3,10/5/10,17.8,37.5,36.9,27.3,119.5,66.4,65.8,52.0,57.4,50.0,47.7,77.2,68.3,85.6,61.4,51.7,5.0,4.0,R500
14,D,4,10/5/10,31.8,33.4,38.0,23.1,126.3,70.3,51.5,42.1,40.6,39.3,29.5,59.4,68.2,32.8,54.6,36.5,5.0,4.0,R500
15,D,5,10/5/10,50.3,33.3,45.9,18.0,147.5,67.8,54.2,40.8,44.3,42.6,28.5,75.6,47.3,18.8,54.3,38.4,5.0,4.0,R500
16,D,6,10/5/10,39.3,46.1,46.5,10.0,141.9,68.9,52.7,29.8,45.7,44.7,25.3,74.5,51.7,16.4,50.5,38.6,5.0,4.0,R500
